,description,type,sample,totalcount,entropy,tcrcovidmatch,tcrcovidfreq
ERC_CO229_CD8,ERC_CO229,CD8,176,15682,0.7643837077960415,0.0012753475322025251,0.0012609039400984135
ERC_CO252_CD4,ERC_CO252,CD4,177,8625,0.9693002913405876,0.00046376811594202896,0.00044518186321630855
ERC_CO252_CD8,ERC_CO252,CD8,178,146,0.8493077097006836,0.0,0.0
ERC_CO255_CD4,ERC_CO255,CD4,179,39661,0.9528559422312871,0.0005294874057638487,0.00038311412916499407
ERC_CO255_CD8,ERC_CO255,CD8,180,18341,0.9014775907765857,0.0006542718499536557,0.0005852753823131679
H11FLOW0_CD4,H11FLOW0,CD4,181,27308,0.9558094236745729,0.0004394316683755676,0.0002552136098067245
H11FLOW0_CD8,H11FLOW0,CD8,182,140,0.8933069627427755,0.0,0.0
H37FLOW0_CD4,H37FLOW0,CD4,183,15921,0.9110685178945629,0.0005024809999371898,0.0007489756778407458
H37FLOW0_CD8,H37FLOW0,CD8,184,8853,0.8481442783668874,0.0011295606009262397,0.0006122204478267188
H39FLOW0_CD4,H39FLOW0,CD4,185,7127,0.9173944857329568,0.0004209344745334643,0.00020200760911602203
H39FLOW0_CD8,H39FLOW0,CD8,186,2082,0.9442272204848198,0.0,0.0
H12FLOW0_CD4,H12FLOW0,CD4,187,12863,0.9678333691487205,0.0003887118090647594,0.0004522846493114595
H12FLOW0_CD8,H12FLOW0,CD8,188,6863,0.9494825631034143,0.0008742532420224392,0.000558470001077
H06FLOW60_CD4,H06FLOW60,CD4,189,3278,0.9370419904092193,0.0006101281269066504,0.0003986505498764136
H06FLOW60_CD8,H06FLOW60,CD8,190,2741,0.8259634056178611,0.00036483035388544326,0.00022089175843645556
H12FLOW60_CD4,H12FLOW60,CD4,191,52,0.8322999055339776,0.0,0.0
H12FLOW60_CD8,H12FLOW60,CD8,192,26352,0.9582977700453632,0.00034153005464480874,0.0002500872859909291
H13FLOW60_CD4,H13FLOW60,CD4,193,8542,0.9357153133308478,0.00011706860220088972,9.758393453304851e-05
H13FLOW60_CD8,H13FLOW60,CD8,194,18555,0.9303546391925992,0.0011856642414443546,0.001054785645567937
H21FLOW60_CD4,H21FLOW60,CD4,195,7628,0.9594070058802363,0.00026219192448872575,8.174104948288416e-05
H21FLOW60_CD8,H21FLOW60,CD8,196,9085,0.9447780066659847,0.001651073197578426,0.0015807126417014077
H24FLOW60_CD4,H24FLOW60,CD4,197,8049,0.9559228117397609,0.0007454342154304882,0.00051728161817056
H24FLOW60_CD8,H24FLOW60,CD8,198,5502,0.8767948584152261,0.0010905125408942203,0.0010478534588814533
H04FLOW180_CD4,H04FLOW180,CD4,199,183,0.7969090933301394,0.0,0.0
H04FLOW180_CD8,H04FLOW180,CD8,200,907,0.9315221519572651,0.0033076074972436605,0.005027287945791216
